ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
CSAP,CSAP.JK,Catur Sentosa Adiprana Tbk.,12 Des 2007,5683175151,Pengembangan,active,
CSIS,CSIS.JK,Cahayasakti Investindo Sukses,10 Mei 2017,1829800000,Pengembangan,active,
CSMI,CSMI.JK,Cipta Selera Murni Tbk.,09 Apr 2020,816061500,Pengembangan,active,
CSRA,CSRA.JK,Cisadane Sawit Raya Tbk.,09 Jan 2020,2050000000,Utama,active,
CTBN,CTBN.JK,Citra Tubindo Tbk.,28 Nov 1989,800371500,Pengembangan,active,
CTRA,CTRA.JK,Ciputra Development Tbk.,28 Mar 1994,18535695255,Utama,active,
CTTH,CTTH.JK,Citatah Tbk.,03 Jul 1996,1230839821,Pengembangan,active,
CUAN,CUAN.JK,Petrindo Jaya Kreasi Tbk.,08 Mar 2023,112418900000,Utama,active,
CYBR,CYBR.JK,ITSEC Asia Tbk.,08 Agt 2023,6720523197,Pengembangan,active,
DAAZ,DAAZ.JK,Daaz Bara Lestari Tbk.,11 Nov 2024,1997000000,Utama,active,
DADA,DADA.JK,Diamond Citra Propertindo Tbk.,14 Feb 2020,7431530800,Pengembangan,active,
DART,DART.JK,Duta Anggada Realty Tbk.,08 Mei 1990,3141390962,Pengembangan,active,
DATA,DATA.JK,Remala Abadi Tbk.,07 Mei 2024,1375000000,Pengembangan,active,
DAYA,DAYA.JK,Duta Intidaya Tbk.,28 Jun 2016,2420547025,Pengembangan,active,
DCII,DCII.JK,DCI Indonesia Tbk.,06 Jan 2021,2383745900,Pengembangan,active,
DEAL,DEAL.JK,Dewata Freightinternational Tb,11 Nov 2018,1146170959,Pemantauan Khusus,special_monitoring,
DEFI,DEFI.JK,Danasupra Erapacific Tbk.,06 Jul 2001,687266666,Pengembangan,active,
DEPO,DEPO.JK,Caturkarda Depo Bangunan Tbk.,25 Nov 2021,6790000000,Pengembangan,active,
DEWA,DEWA.JK,Darma Henwa Tbk,26 Sep 2007,40687434244,Utama,active,
DEWI,DEWI.JK,Dewi Shri Farmindo Tbk.,18 Jul 2022,2000000000,Pengembangan,active,
DFAM,DFAM.JK,Dafam Property Indonesia Tbk.,27 Apr 2018,1899852850,Pengembangan,active,
DGIK,DGIK.JK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5541165000,Pengembangan,active,
DGNS,DGNS.JK,Diagnos Laboratorium Utama Tbk,15 Jan 2021,1250000000,Pengembangan,active,
DGWG,DGWG.JK,Delta Giri Wacana Tbk.,13 Jan 2025,5882353000,Utama,active,
DIGI,DIGI.JK,Arkadia Digital Media Tbk.,18 Sep 2018,1625000000,Pemantauan Khusus,special_monitoring,
DILD,DILD.JK,Intiland Development Tbk.,04 Sep 1991,10365854185,Utama,active,
DIVA,DIVA.JK,Distribusi Voucher Nusantara T,27 Nov 2018,1428571400,Pengembangan,active,
DKFT,DKFT.JK,Central Omega Resources Tbk.,21 Nov 1997,5638246600,Pengembangan,active,
